"Please choose a shop to configure Nosto for.","Veuillez choisir sur quelle boutique vous souhaitez installer Nosto."
"Add Nosto to your %s shop","Ajouter Nosto sur votre boutique %s."
"Do you have an existing Nosto account?","Avez-vous déjà un compte Nosto ?"
"Add Nosto","Ajouter Nosto"
"Email","E-mail"
"By creating a new account you agree to Nosto's","En créant un nouveau compte, vous acceptez les"
"Terms and Conditions","termes et conditions"
"Create Nosto","Créer un nouveau compte"
"You have added Nosto to your %s shop","Vous avez installé Nosto sur votre boutique %s."
"Your account ID is %s","Votre numéro de compte est %s"
"If you want to change the account, you need to remove the existing one first","Si vous voulez changer de compte, vous devez tout d\'abord supprimer le compte existant."
"Remove Nosto","Supprimer Nosto"
"Yes","Oui"
"No","Non"
"Account settings","Configuration du compte"
"Account %s successfully connected to Nosto.","Connexion entre le compte %s et Nosto réussie."
"Account could not be connected to Nosto. Please contact Nosto support.","Le compte n\'a pas pu être connecté à Nosto. Veuillez contacter le support Nosto."
"Account could not be connected to Nosto. You rejected the connection request.","Le compte n\'a pas pu être connecté à Nosto. Vous avez refusé la demande de connexion."
"Account created. Please check your email and follow the instructions to set a password for your new account within three days.","Compte créé ! Veuillez consulter vos e-mails et suivre les instructions pour définir votre mot de passe dans les trois prochains jours."
"Account could not be automatically created. Please visit nosto.com to create a new account.","Le compte n\'a pas pu être créé automatiquement. Veuillez consulter www.nosto.com pour créer un nouveau compte."
"Account successfully removed.","Compte supprimé avec succès."
