"Please choose a shop to configure Nosto for.","Por favor selecciona la tienda en la que quieres configurar Nosto"
"Add Nosto to your %s shop","Activa Nosto en tu tienda %s"
"Do you have an existing Nosto account?","¿Ya tienes una cuenta Nosto?"
"Add Nosto","Activar Nosto"
"Email","Email"
"By creating a new account you agree to Nosto's","Al crear una cuenta nueva aceptas los"
"Terms and Conditions","términos y condiciones de Nosto."
"Create Nosto","Crear una cuenta nueva"
"You have added Nosto to your %s shop","Has activado Nosto en tu tienda %s"
"Your account ID is %s","El ID de tu cuenta es %s"
"If you want to change the account, you need to remove the existing one first","Si deseas cambiar la cuenta, debes desactivar la cuenta existente primero"
"Remove Nosto","Desactivar Nosto"
"Yes","Si"
"No","No"
"Account settings","Configuración de cuentas"
"Account %s successfully connected to Nosto.","La cuenta %s se ha conectado exitosamente a Nosto."
"Account could not be connected to Nosto. Please contact Nosto support.","La cuenta no se ha conectado exitosamente a Nosto. Por favor contacta Nosto Support."
"Account could not be connected to Nosto. You rejected the connection request.","La cuenta no se ha conectado exitosamente a Nosto. Has rechazado la solicitud de conexión."
"Account created. Please check your email and follow the instructions to set a password for your new account within three days.","La cuenta ha sido creada. Por favor revisa tu email y sigue las instrucciones para escoger una contraseña para tu nueva cuenta en los próximos 3 días."
"Account could not be automatically created. Please visit nosto.com to create a new account.","La cuenta no ha podido ser creada automáticamente. Por favor visita nosto.com para crear una nueva cuenta"
"Account successfully removed.","Cuenta eliminado correctamente."
