"Please choose a shop to configure Nosto for.","Bitte wählen Sie einen Shop, auf dem Sie Nosto konfigurieren möchten."
"Add Nosto to your %s shop","Fügen Sie Nosto zu Ihrem %s Shop hinzu"
"Do you have an existing Nosto account?","Haben Sie bereits ein Nostokonto erstellt?"
"Add Nosto","Nosto hinzufügen"
"Email","Email"
"By creating a new account you agree to Nosto's","Mit der Eröffnung des Kontos stimmen"
"Terms and Conditions","Sie den Allgemeinen Geschäftsbedinungen von Nosto zu."
"Create Nosto","Neues Konto erstellen"
"You have added Nosto to your %s shop","Sie haben Nosto zu Ihrem %s Shop hinzugefügt"
"Your account ID is %s","Ihre Konto ID lautet %s"
"If you want to change the account, you need to remove the existing one first","Wenn Sie das Konto ändern möchten, müssen Sie zunächst das bestehende löschen"
"Remove Nosto","Nosto löschen"
"Yes","Ja"
"No","Nein"
"Account settings","Konto Setup"
"Account %s successfully connected to Nosto.","Das Konto %s wurde erfolgreich mit Nosto angebunden."
"Account could not be connected to Nosto. Please contact Nosto support.","Das Konto konnte nicht an Nosto angebunden werden. Bitte kontaktieren Sie den Nosto Support."
"Account could not be connected to Nosto. You rejected the connection request.","Das Konto konnte nicht an Nosto angebunden werden. Sie haben die Verbindung abgewiesen."
"Account created. Please check your email and follow the instructions to set a password for your new account within three days.","Konto erstellt. Bitte checken Sie Ihre Emails und folgen Sie den Anweisungen um ein Passwort für Ihr neues Konto innerhalb von drei Tagen zu erstellen."
"Account could not be automatically created. Please visit nosto.com to create a new account.","Das Nosto Konto konnte nicht automatisch erstellt werden. Bitte besuchen Sie nosto.com um ein neues Konto anzulegen."
"Account successfully removed.","Konto erfolgreich entfernt."
